date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:06	167381/167381	---M--	200	added ('OK')	image/jpeg	etag:%2228dd5-51370c6296b27%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-2.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-2.jpg	(from http://moc.sg/one-time-cleaning/)
20:42:27	140951/140951	---M--	200	added ('OK')	image/jpeg	etag:%2222697-51370edf5c5e7%22	http://moc.sg/wp-content/uploads/2015/04/services-office-8-1024x802.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-8-1024x802.jpg	(from http://moc.sg/office-cleaning/)
20:42:27	140775/140775	---M--	200	added ('OK')	image/jpeg	etag:%22225e7-51370edeeb167%22	http://moc.sg/wp-content/uploads/2015/04/services-office-8.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-8.jpg	(from http://moc.sg/office-cleaning/)
20:42:38	199699/199699	---M--	200	added ('OK')	image/jpeg	etag:%2230c13-51370edcacde7%22	http://moc.sg/wp-content/uploads/2015/04/services-office-6-1024x942.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-6-1024x942.jpg	(from http://moc.sg/office-cleaning/)
20:42:41	457134/457134	---M--	200	added ('OK')	image/jpeg	etag:%226f9ae-51370c6447507%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-3.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-3.jpg	(from http://moc.sg/one-time-cleaning/)
20:42:44	102630/102630	---M--	200	added ('OK')	image/jpeg	etag:%22190e6-51370eda52547%22	http://moc.sg/wp-content/uploads/2015/04/services-office-4-1024x842.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-4-1024x842.jpg	(from http://moc.sg/office-cleaning/)
20:42:54	94097/94097	---M--	200	added ('OK')	image/jpeg	etag:%2216f91-51370ed9cd847%22	http://moc.sg/wp-content/uploads/2015/04/services-office-4.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-4.jpg	(from http://moc.sg/office-cleaning/)
20:42:56	96222/96222	---M--	200	added ('OK')	image/jpeg	etag:%22177de-51370eddd8ac7%22	http://moc.sg/wp-content/uploads/2015/04/services-office-7-726x1024.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-7-726x1024.jpg	(from http://moc.sg/office-cleaning/)
20:43:00	97505/97505	---M--	200	added ('OK')	image/jpeg	etag:%2217ce1-51370edd85aa7%22	http://moc.sg/wp-content/uploads/2015/04/services-office-7.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-7.jpg	(from http://moc.sg/office-cleaning/)
20:43:01	213805/213805	---M--	200	added ('OK')	image/jpeg	etag:%223432d-51370edc55f47%22	http://moc.sg/wp-content/uploads/2015/04/services-office-6.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-6.jpg	(from http://moc.sg/office-cleaning/)
20:43:16	101690/101690	---M--	200	added ('OK')	image/jpeg	etag:%2218d3a-51370ed74dde7%22	http://moc.sg/wp-content/uploads/2015/04/services-office-2-796x1024.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-2-796x1024.jpg	(from http://moc.sg/office-cleaning/)
